transaction_id,date,customer_id,product,price,quantity,coupon_code,shipping_city
T0333,2025-01-03,C0089,Yoga Mat,36.23,1,,Denver
T0226,2025-01-04,C0141,Headphones,75.99,1,,Philadelphia
T0051,2025-01-05,C0110,Bluetooth Speaker,49.95,2,SAVE10,Miami
T0402,2025-01-05,C0108,Backpack,59.00,1,,Boston
T0453,2025-01-05,C0239,Sunglasses,35.00,1,,Houston
T0478,2025-01-07,C0122,Headphones,75.99,2,FREESHIP,Houston
T0012,2025-01-08,C0218,Phone Case,18.36,2,,Dallas
T0225,2025-01-08,C0173,T-Shirt,20.90,4,,Nashville
T0312,2025-01-08,C0192,T-Shirt,22.00,1,,Denver
T0475,2025-01-08,C0205,USB-C Cable,12.50,2,,Nashville
T0028,2025-01-11,C0076,Running Shoes,89.00,2,FREESHIP,Minneapolis
T0385,2025-01-11,C0128,Phone Case,16.62,2,,Los Angeles
T0537,2025-01-11,C0163,Wireless Mouse,24.99,2,,Austin
T0410,2025-01-13,C0019,Phone Case,16.62,3,,Atlanta
T0002,2025-01-14,C0206,Phone Case,18.36,1,WELCOME15,San Antonio
T0072,2025-01-15,C0108,Water Bottle,19.99,1,,Miami
T0088,2025-01-15,C0180,USB-C Cable,12.50,1,FREESHIP,Portland
T0113,2025-01-15,C0212,Water Bottle,19.99,1,,Phoenix
T0032,2025-01-17,C0217,Backpack,64.90,1,,Boston
T0394,2025-01-18,C0173,T-Shirt,22.00,1,,San Jose
T0256,2025-01-19,C0117,Yoga Mat,32.77,2,,Portland
T0588,2025-01-19,C0222,USB-C Cable,11.88,1,,Charlotte
T0442,2025-01-20,C0217,Coffee Mug,15.35,1,,Portland
T0328,2025-01-21,C0039,Sunglasses,35.00,2,,Portland
T0539,2025-01-21,C0136,USB-C Cable,13.12,2,,New York
T0550,2025-01-22,C0019,Notebook Set,15.75,2,,San Diego
T0308,2025-01-24,C0152,Portable Charger,42.75,1,,San Jose
T0313,2025-01-24,C0192,Wireless Mouse,26.24,2,,Dallas
T0412,2025-01-24,C0085,Keyboard,52.24,1,,Seattle
T0438,2025-01-25,C0231,Keyboard,54.99,1,,Los Angeles
T0314,2025-01-26,C0073,Headphones,79.99,4,SAVE10,Denver
T0423,2025-01-26,C0234,Bluetooth Speaker,52.45,1,,Atlanta
T0220,2025-01-27,C0057,Travel Organizer,27.50,1,WELCOME15,Phoenix
T0053,2025-01-28,C0183,Travel Organizer,27.50,1,FREESHIP,San Jose
T0361,2025-01-28,C0190,Yoga Mat,32.77,1,SAVE10,San Diego
T0584,2025-01-28,C0115,Portable Charger,45.00,1,,Houston
T0169,2025-01-29,C0096,Yoga Mat,34.50,1,WELCOME15,Houston
T0379,2025-01-29,C0102,Keyboard,54.99,1,SUMMER20,San Jose
T0506,2025-01-29,C0184,Coffee Mug,14.65,1,,New York
T0353,2025-01-30,C0176,Portable Charger,49.50,2,,Denver
T0413,2025-01-30,C0113,Bluetooth Speaker,49.95,2,,Denver
T0480,2025-01-30,C0085,Notebook Set,15.00,1,,Denver
T0466,2025-01-31,C0091,Desk Lamp,38.00,2,,San Jose
T0141,2025-02-01,C0200,Keyboard,60.49,2,,Minneapolis
T0449,2025-02-03,C0211,Wireless Mouse,24.99,1,,Austin
T0460,2025-02-03,C0210,Sunglasses,38.50,1,,Atlanta
T0017,2025-02-05,C0166,Notebook Set,15.75,2,,Houston
T0092,2025-02-05,C0187,Yoga Mat,34.50,1,SUMMER20,Houston
T0357,2025-02-07,C0107,Keyboard,60.49,2,,Denver
T0009,2025-02-08,C0106,Travel Organizer,27.50,1,,San Diego
T0203,2025-02-08,C0132,Coffee Mug,13.95,2,,Portland
T0210,2025-02-08,C0055,Backpack,56.05,1,,Houston
T0326,2025-02-08,C0031,Coffee Mug,14.65,2,,Boston
T0520,2025-02-08,C0136,USB-C Cable,11.88,1,,San Diego
T0099,2025-02-09,C0070,USB-C Cable,13.12,2,,New York
T0173,2025-02-09,C0196,Portable Charger,47.25,3,,San Antonio
T0390,2025-02-09,C0218,Wireless Mouse,24.99,3,FREESHIP,San Diego
T0101,2025-02-10,C0029,Portable Charger,45.00,1,,Charlotte
T0171,2025-02-10,C0239,Phone Case,17.49,2,SUMMER20,Philadelphia
T0297,2025-02-10,C0104,Coffee Mug,13.95,2,,Phoenix
T0295,2025-02-11,C0098,Notebook Set,14.25,4,SAVE10,Minneapolis
T0298,2025-02-11,C0022,Keyboard,57.74,1,SUMMER20,San Antonio
T0493,2025-02-11,C0234,Laptop Stand,44.10,1,,Portland
T0205,2025-02-12,C0236,Phone Case,17.49,2,,Portland
T0243,2025-02-13,C0042,T-Shirt,22.00,1,,Los Angeles
T0486,2025-02-13,C0003,Bluetooth Speaker,54.95,5,,Houston
T0339,2025-02-14,C0131,Desk Lamp,38.00,1,,Charlotte
T0422,2025-02-14,C0235,Bluetooth Speaker,49.95,2,,Denver
T0581,2025-02-15,C0103,Notebook Set,15.00,1,SAVE10,Minneapolis
T0134,2025-02-16,C0210,Sunglasses,35.00,3,,New York
T0228,2025-02-16,C0033,Headphones,79.99,3,,Austin
T0063,2025-02-17,C0076,USB-C Cable,12.50,1,,Minneapolis
T0116,2025-02-17,C0004,Headphones,79.99,1,,San Antonio
T0163,2025-02-17,C0120,Yoga Mat,34.50,2,SAVE10,San Antonio
