transaction_id,date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_percent,free_shipping,days_since_purchase,revenue
T0051,2025-01-05,C0110,Bluetooth Speaker,49.95,2,SAVE10,Boston,10,False,360,89.91000000000001
T0478,2025-01-07,C0122,Headphones,75.99,2,FREESHIP,Houston,0,True,358,151.98
T0012,2025-01-08,C0218,Phone Case,18.36,2,,Dallas,0,False,357,36.72
T0225,2025-01-08,C0173,T-Shirt,20.9,4,,Nashville,0,False,357,83.6
T0312,2025-01-08,C0192,T-Shirt,22.0,1,,Denver,0,False,357,22.0
T0475,2025-01-08,C0205,USB-C Cable,12.5,2,,Nashville,0,False,357,25.0
T0028,2025-01-11,C0076,Running Shoes,89.0,2,FREESHIP,Minneapolis,0,True,354,178.0
T0385,2025-01-11,C0128,Phone Case,16.62,2,,Los Angeles,0,False,354,33.24
T0537,2025-01-11,C0163,Wireless Mouse,24.99,2,,Austin,0,False,354,49.98
T0410,2025-01-13,C0019,Phone Case,16.62,3,,Atlanta,0,False,352,49.86
T0002,2025-01-14,C0206,Phone Case,18.36,1,WELCOME15,San Antonio,15,False,351,15.606
T0072,2025-01-15,C0108,Water Bottle,19.99,1,,Miami,0,False,350,19.99
T0088,2025-01-15,C0180,USB-C Cable,12.5,1,FREESHIP,Portland,0,True,350,12.5
T0113,2025-01-15,C0212,Water Bottle,19.99,1,,Phoenix,0,False,350,19.99
T0032,2025-01-17,C0217,Backpack,64.9,1,,Boston,0,False,348,64.9
T0394,2025-01-18,C0173,T-Shirt,22.0,1,,San Jose,0,False,347,22.0
T0256,2025-01-19,C0117,Yoga Mat,32.77,2,,Portland,0,False,346,65.54
T0588,2025-01-19,C0222,USB-C Cable,11.88,1,,Charlotte,0,False,346,11.88
T0442,2025-01-20,C0217,Coffee Mug,15.35,1,,Portland,0,False,345,15.35
T0328,2025-01-21,C0039,Sunglasses,35.0,2,,Portland,0,False,344,70.0
T0539,2025-01-21,C0136,USB-C Cable,13.12,2,,New York,0,False,344,26.24
T0550,2025-01-22,C0019,Notebook Set,15.75,2,,San Diego,0,False,343,31.5
T0308,2025-01-24,C0152,Portable Charger,42.75,1,,San Jose,0,False,341,42.75
T0313,2025-01-24,C0192,Wireless Mouse,26.24,2,,Dallas,0,False,341,52.48
T0412,2025-01-24,C0085,Keyboard,52.24,1,,Seattle,0,False,341,52.24
T0438,2025-01-25,C0231,Keyboard,54.99,1,,Los Angeles,0,False,340,54.99
T0314,2025-01-26,C0073,Headphones,79.99,4,SAVE10,Denver,10,False,339,287.964
T0423,2025-01-26,C0234,Bluetooth Speaker,52.45,1,,Atlanta,0,False,339,52.45
T0220,2025-01-27,C0057,Travel Organizer,27.5,1,WELCOME15,Phoenix,15,False,338,23.375
T0053,2025-01-28,C0183,Travel Organizer,27.5,1,FREESHIP,San Jose,0,True,337,27.5
T0361,2025-01-28,C0190,Yoga Mat,32.77,1,SAVE10,San Diego,10,False,337,29.493000000000002
T0584,2025-01-28,C0115,Portable Charger,45.0,1,,Houston,0,False,337,45.0
T0169,2025-01-29,C0096,Yoga Mat,34.5,1,WELCOME15,Houston,15,False,336,29.325
T0379,2025-01-29,C0102,Keyboard,54.99,1,SUMMER20,San Jose,20,False,336,43.992000000000004
T0506,2025-01-29,C0184,Coffee Mug,14.65,1,,New York,0,False,336,14.65
T0353,2025-01-30,C0176,Portable Charger,49.5,2,,Denver,0,False,335,99.0
T0413,2025-01-30,C0113,Bluetooth Speaker,49.95,2,,Denver,0,False,335,99.9
T0480,2025-01-30,C0085,Notebook Set,15.0,1,,Denver,0,False,335,15.0
T0466,2025-01-31,C0091,Desk Lamp,38.0,2,,San Jose,0,False,334,76.0
T0141,2025-02-01,C0200,Keyboard,60.49,2,,Minneapolis,0,False,333,120.98
T0449,2025-02-03,C0211,Wireless Mouse,24.99,1,,Austin,0,False,331,24.99
T0460,2025-02-03,C0210,Sunglasses,38.5,1,,Atlanta,0,False,331,38.5
T0017,2025-02-05,C0166,Notebook Set,15.75,2,,Houston,0,False,329,31.5
T0092,2025-02-05,C0187,Yoga Mat,34.5,1,SUMMER20,Houston,20,False,329,27.6
T0357,2025-02-07,C0107,Keyboard,60.49,2,,Denver,0,False,327,120.98
T0009,2025-02-08,C0106,Travel Organizer,27.5,1,,San Diego,0,False,326,27.5
T0203,2025-02-08,C0132,Coffee Mug,13.95,2,,Portland,0,False,326,27.9
T0210,2025-02-08,C0055,Backpack,56.05,1,,Houston,0,False,326,56.05
T0326,2025-02-08,C0031,Coffee Mug,14.65,2,,Boston,0,False,326,29.3
T0520,2025-02-08,C0136,USB-C Cable,11.88,1,,San Diego,0,False,326,11.88
T0099,2025-02-09,C0070,USB-C Cable,13.12,2,,New York,0,False,325,26.24
T0173,2025-02-09,C0196,Portable Charger,47.25,3,,San Antonio,0,False,325,141.75
T0390,2025-02-09,C0218,Wireless Mouse,24.99,3,FREESHIP,San Diego,0,True,325,74.97
T0101,2025-02-10,C0029,Portable Charger,45.0,1,,Charlotte,0,False,324,45.0
T0171,2025-02-10,C0239,Phone Case,17.49,2,SUMMER20,Philadelphia,20,False,324,27.983999999999998
T0297,2025-02-10,C0104,Coffee Mug,13.95,2,,Phoenix,0,False,324,27.9
T0295,2025-02-11,C0098,Notebook Set,14.25,4,SAVE10,Minneapolis,10,False,323,51.300000000000004
T0298,2025-02-11,C0022,Keyboard,57.74,1,SUMMER20,San Antonio,20,False,323,46.19200000000001
T0493,2025-02-11,C0234,Laptop Stand,44.1,1,,Portland,0,False,323,44.1
T0205,2025-02-12,C0236,Phone Case,17.49,2,,Portland,0,False,322,34.98
T0243,2025-02-13,C0042,T-Shirt,22.0,1,,Los Angeles,0,False,321,22.0
T0486,2025-02-13,C0003,Bluetooth Speaker,54.95,5,,Houston,0,False,321,274.75
T0339,2025-02-14,C0131,Desk Lamp,38.0,1,,Charlotte,0,False,320,38.0
T0422,2025-02-14,C0235,Bluetooth Speaker,49.95,2,,Denver,0,False,320,99.9
T0581,2025-02-15,C0103,Notebook Set,15.0,1,SAVE10,Minneapolis,10,False,319,13.5
T0134,2025-02-16,C0210,Sunglasses,35.0,3,,New York,0,False,318,105.0
T0228,2025-02-16,C0033,Headphones,79.99,3,,Austin,0,False,318,239.96999999999997
T0063,2025-02-17,C0076,USB-C Cable,12.5,1,,Minneapolis,0,False,317,12.5
T0116,2025-02-17,C0004,Headphones,79.99,1,,San Antonio,0,False,317,79.99
T0163,2025-02-17,C0120,Yoga Mat,34.5,2,SAVE10,San Antonio,10,False,317,62.1
T0296,2025-02-17,C0115,T-Shirt,24.2,1,WELCOME15,Austin,15,False,317,20.57
T0577,2025-02-17,C0179,Notebook Set,14.25,2,SAVE10,Dallas,10,False,317,25.650000000000002
